"filename", "language", "JSON", "JSON with Comments", "XML", "Markdown", "C#", "TypeScript", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"g:\InternShipApp\API\API.csproj", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"g:\InternShipApp\API\Controllers\AccountController.cs", "C#", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 11, 50
"g:\InternShipApp\API\Controllers\BaseAPIController.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\InternShipApp\API\Controllers\ChallengeController.cs", "C#", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 42, 211
"g:\InternShipApp\API\Controllers\ChatController.cs", "C#", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 11, 60
"g:\InternShipApp\API\Controllers\CommentController.cs", "C#", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 9, 76
"g:\InternShipApp\API\Controllers\GroupChatController.cs", "C#", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 26, 133
"g:\InternShipApp\API\Controllers\GroupController.cs", "C#", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 74
"g:\InternShipApp\API\Controllers\InternGroupController.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"g:\InternShipApp\API\Controllers\LoggingController.cs", "C#", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"g:\InternShipApp\API\Controllers\MeetingController.cs", "C#", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"g:\InternShipApp\API\Controllers\NoteController.cs", "C#", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 11, 55
"g:\InternShipApp\API\Controllers\PeopleController.cs", "C#", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 19, 153
"g:\InternShipApp\API\Controllers\PostsController.cs", "C#", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 13, 97
"g:\InternShipApp\API\Controllers\QuestionController.cs", "C#", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 11, 66
"g:\InternShipApp\API\Controllers\QuestionSolutionController.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"g:\InternShipApp\API\Controllers\ServerConnectionController.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"g:\InternShipApp\API\Controllers\TestController.cs", "C#", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 19, 132
"g:\InternShipApp\API\Data\ChallengeRepository.cs", "C#", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 25, 134
"g:\InternShipApp\API\Data\ChallengeSolutionRepository.cs", "C#", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 24, 108
"g:\InternShipApp\API\Data\CommentRepository.cs", "C#", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 12, 106
"g:\InternShipApp\API\Data\GroupChatMessageRepository.cs", "C#", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
"g:\InternShipApp\API\Data\GroupChatRepository.cs", "C#", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 26, 232
"g:\InternShipApp\API\Data\GroupRepository.cs", "C#", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 15, 103
"g:\InternShipApp\API\Data\InternGroupRepository.cs", "C#", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 14, 90
"g:\InternShipApp\API\Data\LoggRepository.cs", "C#", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"g:\InternShipApp\API\Data\MeetingRepository.cs", "C#", 0, 0, 0, 0, 250, 0, 0, 0, 0, 4, 21, 275
"g:\InternShipApp\API\Data\MessageRepository.cs", "C#", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 14, 84
"g:\InternShipApp\API\Data\NoteRepository.cs", "C#", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 13, 65
"g:\InternShipApp\API\Data\PasswordLinkRepository.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"g:\InternShipApp\API\Data\PersonRepository.cs", "C#", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 26, 201
"g:\InternShipApp\API\Data\PostRepository.cs", "C#", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 11, 112
"g:\InternShipApp\API\Data\QuestionRepository.cs", "C#", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 14, 85
"g:\InternShipApp\API\Data\QuestionSolutionRepository.cs", "C#", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"g:\InternShipApp\API\Data\StatsRepository.cs", "C#", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"g:\InternShipApp\API\Data\TaskRepository.cs", "C#", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 15, 81
"g:\InternShipApp\API\Data\TestInternGroupRepository.cs", "C#", 0, 0, 0, 0, 110, 0, 0, 0, 0, 2, 7, 119
"g:\InternShipApp\API\Data\TestQuestionRepository.cs", "C#", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 11, 105
"g:\InternShipApp\API\Data\TestRepository.cs", "C#", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 18, 127
"g:\InternShipApp\API\Dtos\ChallengeDto.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 9, 24
"g:\InternShipApp\API\Dtos\ChallengeSolutionDto.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"g:\InternShipApp\API\Dtos\CommentDto.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"g:\InternShipApp\API\Dtos\ForgotPasswordDto.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"g:\InternShipApp\API\Dtos\GroupChatDto.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"g:\InternShipApp\API\Dtos\GroupChatMessageDto.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
"g:\InternShipApp\API\Dtos\GroupChatPersonDto.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"g:\InternShipApp\API\Dtos\GroupDto.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"g:\InternShipApp\API\Dtos\InternGroupDto.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"g:\InternShipApp\API\Dtos\LoggingDto.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"g:\InternShipApp\API\Dtos\MeetingDto.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"g:\InternShipApp\API\Dtos\MessageDto.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 9, 24
"g:\InternShipApp\API\Dtos\NoteDto.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"g:\InternShipApp\API\Dtos\ObjectGroupDto.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"g:\InternShipApp\API\Dtos\ObjectInternDto.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"g:\InternShipApp\API\Dtos\PersonDto.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"g:\InternShipApp\API\Dtos\PostCommentReactionDto.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"g:\InternShipApp\API\Dtos\PostDto.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 9, 25
"g:\InternShipApp\API\Dtos\PostViewDto.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"g:\InternShipApp\API\Dtos\QuestionDto.cs", "C#", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 14, 35
"g:\InternShipApp\API\Dtos\RankingDto.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
