Date : 2023-06-28 23:36:17
Directory : z:\InternShipApp
Total : 776 files,  4762 codes, -11 comments, 724 blanks, all 5475 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        191 |      1,972 |        -11 |        268 |      2,229 |
| C#                 |        349 |      1,386 |          0 |        302 |      1,688 |
| CSS                |        105 |        839 |          0 |        128 |        967 |
| HTML               |        105 |        417 |          0 |         26 |        443 |
| JSON               |         16 |        146 |          0 |          0 |        146 |
| XML                |          2 |          2 |          0 |          0 |          2 |
| JSON with Comments |          2 |          0 |          0 |          0 |          0 |
| Markdown           |          4 |          0 |          0 |          0 |          0 |
| SCSS               |          2 |          0 |          0 |          0 |          0 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        426 |     36,003 |         79 |      3,848 |     39,930 |
| . (Files)                                                                                                        |          1 |          1 |          0 |          1 |          2 |
| API                                                                                                              |        191 |      7,677 |         22 |      1,778 |      9,477 |
| API (Files)                                                                                                      |          4 |         84 |          0 |         15 |         99 |
| API\Controllers                                                                                                  |         20 |      1,501 |          0 |        296 |      1,797 |
| API\Data                                                                                                         |         26 |      2,477 |          6 |        410 |      2,893 |
| API\Dtos                                                                                                         |         33 |        464 |          0 |        190 |        654 |
| API\Extensions                                                                                                   |          2 |        107 |          0 |          5 |        112 |
| API\FluentMigration                                                                                              |         33 |      1,085 |         16 |        193 |      1,294 |
| API\FluentMigration (Files)                                                                                      |          1 |         34 |         16 |          6 |         56 |
| API\FluentMigration\Migrations                                                                                   |         32 |      1,051 |          0 |        187 |      1,238 |
| API\Helpers                                                                                                      |          2 |        120 |          0 |          4 |        124 |
| API\Interfaces                                                                                                   |         28 |        407 |          0 |         56 |        463 |
| API\Interfaces (Files)                                                                                           |          2 |         17 |          0 |          3 |         20 |
| API\Interfaces\Repository                                                                                        |         26 |        390 |          0 |         53 |        443 |
| API\Models                                                                                                       |         34 |      1,039 |          0 |        545 |      1,584 |
| API\Properties                                                                                                   |          1 |         41 |          0 |          1 |         42 |
| API\Services                                                                                                     |          2 |         73 |          0 |         14 |         87 |
| API\SignalR                                                                                                      |          4 |        188 |          0 |         37 |        225 |
| API\Utils                                                                                                        |          2 |         91 |          0 |         12 |        103 |
| client                                                                                                           |        234 |     28,325 |         57 |      2,069 |     30,451 |
| client (Files)                                                                                                   |          7 |     12,519 |          3 |         20 |     12,542 |
| client\src                                                                                                       |        227 |     15,806 |         54 |      2,049 |     17,909 |
| client\src (Files)                                                                                               |          4 |        111 |         15 |         37 |        163 |
| client\src\app                                                                                                   |        167 |     13,669 |         35 |      1,664 |     15,368 |
| client\src\app (Files)                                                                                           |          5 |        271 |          0 |         14 |        285 |
| client\src\app\admin                                                                                             |         18 |      1,365 |         19 |        180 |      1,564 |
| client\src\app\admin\admin.dashboard                                                                             |          3 |        229 |          0 |         20 |        249 |
